"filename", "language", "Ini", "C++", "C", "Properties", "Markdown", "YAML", "JSON", "comment", "blank", "total"
"c:\Users\Tuomas\Documents\PlatformIO\Projects\openATControl\lib\U8g2\src\clib\u8g2_message.c", "C", 0, 0, 109, 0, 0, 0, 0, 57, 32, 198
"c:\Users\Tuomas\Documents\PlatformIO\Projects\openATControl\lib\U8g2\src\clib\u8g2_polygon.c", "C", 0, 0, 258, 0, 0, 0, 0, 28, 61, 347
"c:\Users\Tuomas\Documents\PlatformIO\Projects\openATControl\lib\U8g2\src\clib\u8g2_selection_list.c", "C", 0, 0, 159, 0, 0, 0, 0, 83, 43, 285
"c:\Users\Tuomas\Documents\PlatformIO\Projects\openATControl\lib\U8g2\src\clib\u8g2_setup.c", "C", 0, 0, 268, 0, 0, 0, 0, 92, 91, 451
"c:\Users\Tuomas\Documents\PlatformIO\Projects\openATControl\lib\U8g2\src\clib\u8log.c", "C", 0, 0, 167, 0, 0, 0, 0, 67, 27, 261
"c:\Users\Tuomas\Documents\PlatformIO\Projects\openATControl\lib\U8g2\src\clib\u8log_u8g2.c", "C", 0, 0, 33, 0, 0, 0, 0, 61, 5, 99
"c:\Users\Tuomas\Documents\PlatformIO\Projects\openATControl\lib\U8g2\src\clib\u8log_u8x8.c", "C", 0, 0, 34, 0, 0, 0, 0, 35, 7, 76
"c:\Users\Tuomas\Documents\PlatformIO\Projects\openATControl\lib\U8g2\src\clib\u8x8.h", "C++", 0, 653, 0, 0, 0, 0, 0, 350, 195, 1198
"c:\Users\Tuomas\Documents\PlatformIO\Projects\openATControl\lib\U8g2\src\clib\u8x8_8x8.c", "C", 0, 0, 351, 0, 0, 0, 0, 91, 52, 494
"c:\Users\Tuomas\Documents\PlatformIO\Projects\openATControl\lib\U8g2\src\clib\u8x8_byte.c", "C", 0, 0, 479, 0, 0, 0, 0, 110, 78, 667
"c:\Users\Tuomas\Documents\PlatformIO\Projects\openATControl\lib\U8g2\src\clib\u8x8_cad.c", "C", 0, 0, 504, 0, 0, 0, 0, 201, 45, 750
"c:\Users\Tuomas\Documents\PlatformIO\Projects\openATControl\lib\U8g2\src\clib\u8x8_capture.c", "C", 0, 0, 169, 0, 0, 0, 0, 52, 33, 254
"c:\Users\Tuomas\Documents\PlatformIO\Projects\openATControl\lib\U8g2\src\clib\u8x8_d_a2printer.c", "C", 0, 0, 100, 0, 0, 0, 0, 57, 25, 182
"c:\Users\Tuomas\Documents\PlatformIO\Projects\openATControl\lib\U8g2\src\clib\u8x8_d_il3820_296x128.c", "C", 0, 0, 300, 0, 0, 0, 0, 157, 96, 553
"c:\Users\Tuomas\Documents\PlatformIO\Projects\openATControl\lib\U8g2\src\clib\u8x8_d_ist3020.c", "C", 0, 0, 136, 0, 0, 0, 0, 38, 27, 201
"c:\Users\Tuomas\Documents\PlatformIO\Projects\openATControl\lib\U8g2\src\clib\u8x8_d_ist7920.c", "C", 0, 0, 134, 0, 0, 0, 0, 40, 29, 203
"c:\Users\Tuomas\Documents\PlatformIO\Projects\openATControl\lib\U8g2\src\clib\u8x8_d_ks0108.c", "C", 0, 0, 227, 0, 0, 0, 0, 72, 46, 345
"c:\Users\Tuomas\Documents\PlatformIO\Projects\openATControl\lib\U8g2\src\clib\u8x8_d_lc7981.c", "C", 0, 0, 260, 0, 0, 0, 0, 148, 63, 471
"c:\Users\Tuomas\Documents\PlatformIO\Projects\openATControl\lib\U8g2\src\clib\u8x8_d_ld7032_60x32.c", "C", 0, 0, 170, 0, 0, 0, 0, 46, 28, 244
"c:\Users\Tuomas\Documents\PlatformIO\Projects\openATControl\lib\U8g2\src\clib\u8x8_d_ls013b7dh03.c", "C", 0, 0, 134, 0, 0, 0, 0, 43, 21, 198
"c:\Users\Tuomas\Documents\PlatformIO\Projects\openATControl\lib\U8g2\src\clib\u8x8_d_max7219.c", "C", 0, 0, 294, 0, 0, 0, 0, 64, 47, 405
"c:\Users\Tuomas\Documents\PlatformIO\Projects\openATControl\lib\U8g2\src\clib\u8x8_d_pcd8544_84x48.c", "C", 0, 0, 108, 0, 0, 0, 0, 37, 22, 167
"c:\Users\Tuomas\Documents\PlatformIO\Projects\openATControl\lib\U8g2\src\clib\u8x8_d_pcf8812.c", "C", 0, 0, 105, 0, 0, 0, 0, 65, 24, 194
"c:\Users\Tuomas\Documents\PlatformIO\Projects\openATControl\lib\U8g2\src\clib\u8x8_d_pcf8814_hx1230.c", "C", 0, 0, 130, 0, 0, 0, 0, 44, 25, 199
